Date,Amount Spent,Store,Product,Type of Transaction,Individual Price,Quantity Purchased,Sales Tax,Expenses,Bills,Total Spent,Total Sales Tax,Planned Spending,Name,Cost,Tax,Total,Type of Transaction,,Part Number,,Expected Cost
,,,Lays Limon,Food & Drink,$2.50,1,,,,,,,,,,,,,,,
,,,Big K Diet Cola,Food & Drink,$2.49,1,,,,,,,,,,,,,,,
1/29/2016,$20,USA Gasoline,,,,,$0,,,,,,,,,,,,,,
,,,Gas,Gas,$2.78,7.197,,,,,,,,,,,,,,,
1/29/2016,$26.25,CVS,,,,,$2.02,,,,,,,,,,,,,,
,,,Advanced Pregnancy Test,Personal,$19.99,1,,,,,,,,,,,,,,,
,,,Diet Snapple,Food & Drink,$1.77,1,,,,,,,,,,,,,,,
,,,Razberry Energy Drink,Food & Drink,$2.37,1,,,,,,,,,,,,,,,
1/29/2016,$30.00,Bank of America,,,,,$0,,,,,,,,,,,,,,
,,,Monthly Bill,Bill,$30,,,,,,,,,,,,,,,,
1/30/2016,$1.16,Dollar Tree,,,,,$0.11,,,,,,,,,,,,,,
,,,Diet Coke,Food & Drink,$1.05,1,,,,,,,,,,,,,,,
1/30/2016,$12.15,Walmart,,,,,$1.00,,,,,,,,,,,,,,
,,,Michelob,Food & Drink,$5.97,1,,,,,,,,,,,,,,,
,,,Auxiliary Cable,Personal,$4.88,1,,,,,,,,,,,,,,,
1/31/2016,$12.43,Food 4 Less,,,,,$1.03,,,,,,,,,,,,,,
,,,Big K Diet Cola,Food & Drink,$2.25,4,,,,,,,,,,,,,,,
1/31/2016,$5.88,Jack in the Box,,,,,$0.49,,,,,,,,,,,,,,
,,,Supreme Croissant,Food & Drink,$5.39,1,,,,,,,,,,,,,,,
1/31/2016,$23.90,Bank of America,,,,,$0,,,,,,,,,,,,,,
,,,Monthly Bill,Bill,$23.90,1,,,,,,,,,,,,,,,
1/31/2016,$299.99,Udacity,,,,,$0,,,,,,,,,,,,,,
,,,Education,Job Search,$299.99,1,,,,,,,,,,,,,,,
2/2/2016,$2.98,Walmart,,,,,$0,,,,,,,,,,,,,,
,,,Red Velvet Oreo,Food & Drink,$2.98,1,,,,,,,,,,,,,,,
2/4/2016,$11.97,CVS Pharmacy,,,,,$0.99,,,,,,,,,,,,,,
,,,Old Spice Bearglove,Personal,$4.99,1,,,,,,,,,,,,,,,
,,,Old Spice Body Wolfthorn,Personal,$5.99,1,,,,,,,,,,,,,,,
2/4/2016,$3.98,King Taco,,,,,$0.33,,,,,,,,,,,,,,
,,,Burrito Frijoles,Food & Drink,$3.55,1,,,,,,,,,,,,,,,
2/4/2016,$1.59,Shell,,,,,$0,,,,,,,,,,,,,,
,,,Large Coffee,Food & Drink,$1.59,1,,,,,,,,,,,,,,,
2/5/2016,$23.16,Veggie Grill,,,,,$1.91,,,,,,,,,,,,,,
,,,Buffalo Wings,Food & Drink,$7.35,1,,,,,,,,,,,,,,,
,,,Santa Fe Chick'n',Food & Drink,$10.25,1,,,,,,,,,,,,,,,
,,,Fireston 805,Food & Drink,$3.65,1,,,,,,,,,,,,,,,
2/5/2016,$12.63,BevMo!,,,,,"$1,04",,,,,,,,,,,,,,
,,,Bud Light Platinum,Food & Drink,$11.59,1,,,,,,,,,,,,,,,
2/7/2016,$30.27,76 Gas,,,,,$0,,,,,,,,,,,,,,
,,,Premium Gas,Gas,$2.80,10.815,,,,,,,,,,,,,,,
